tipo_rota,nome_sequencia,fator_ruido,cobertura_espacial,cobertura_forward,acuracia_seletiva_espacial,acuracia_seletiva_forward,taxa_identificacoes_incorretas_espacial,taxa_identificacoes_incorretas_forward,diferenca_cobertura_pp,ganho_acuracia_seletiva_pp,reducao_absoluta_erros_pp,reducao_relativa_erros_pct
estresse,inspecao_com_saltos,0.5,0.9865,0.9506666666666667,0.9829363068085826,0.9731767180925667,0.016833333333333332,0.0255,-3.5833333333333384,-0.9759588716015899,-0.8666666666666666,-51.48514851485149
estresse,inspecao_com_saltos,0.75,0.9336666666666666,0.8406666666666667,0.9357372367011781,0.8717287866772403,0.06,0.10783333333333334,-9.299999999999997,-6.400845002393785,-4.783333333333334,-79.72222222222223
estresse,inspecao_com_saltos,1.0,0.8763333333333333,0.7466666666666667,0.8809433244579689,0.7647321428571429,0.10433333333333333,0.17566666666666667,-12.96666666666666,-11.621118160082599,-7.133333333333333,-68.370607028754
estresse,inspecao_com_saltos,1.25,0.8143333333333334,0.6671666666666667,0.8391322144903807,0.7014738945790657,0.131,0.19916666666666666,-14.716666666666667,-13.765831991131494,-6.8166666666666655,-52.035623409669206
estresse,inspecao_com_saltos,1.5,0.754,0.5911666666666666,0.8050397877984085,0.6642232872850296,0.147,0.1985,-16.28333333333334,-14.08165005133789,-5.150000000000002,-35.03401360544218
estresse,inspecao_com_saltos,2.0,0.607,0.4215,0.7515101592531576,0.6184262554369316,0.15083333333333335,0.16083333333333333,-18.55,-13.308390381622592,-0.9999999999999981,-6.6298342541436295
estresse,troca_central_longa,0.5,0.9845,0.9918333333333333,0.983748095479939,0.9983196101495547,0.016,0.0016666666666666668,0.7333333333333303,1.4571514669615704,1.4333333333333333,89.58333333333334
estresse,troca_central_longa,0.75,0.9361666666666667,0.9521666666666667,0.9307459497952644,0.9929984246455452,0.06483333333333334,0.006666666666666667,1.6000000000000014,6.225247485028085,5.816666666666667,89.7172236503856
estresse,troca_central_longa,1.0,0.876,0.8881666666666667,0.8793759512937596,0.9806717958341152,0.10566666666666667,0.017166666666666667,1.216666666666666,10.129584454035568,8.850000000000001,83.75394321766562
estresse,troca_central_longa,1.25,0.8136666666666666,0.7931666666666667,0.8353133961491193,0.9644883378861105,0.134,0.028166666666666666,-2.0499999999999963,12.91749417369913,10.583333333333334,78.98009950248756
estresse,troca_central_longa,1.5,0.7478333333333333,0.6733333333333333,0.801203476710497,0.932920792079208,0.14866666666666667,0.04516666666666667,-7.450000000000001,13.1717315368711,10.350000000000001,69.61883408071749
estresse,troca_central_longa,2.0,0.6053333333333333,0.3521666666666667,0.7491740088105727,0.795551348793185,0.15183333333333332,0.072,-25.31666666666666,4.637733998261229,7.9833333333333325,52.57958287596048
primarias,circuito_antihorario,0.5,0.984,0.992,0.9840785907859079,0.9984879032258065,0.015666666666666666,0.0015,0.8000000000000007,1.4409312439898625,1.4166666666666665,90.42553191489363
primarias,circuito_antihorario,0.75,0.939,0.9503333333333334,0.9304224352147675,0.9924587863907401,0.06533333333333333,0.007166666666666667,1.1333333333333417,6.203635117597262,5.8166666666666655,89.03061224489795
primarias,circuito_antihorario,1.0,0.8733333333333333,0.8901666666666667,0.8814885496183206,0.9765961430443737,0.1035,0.020833333333333332,1.6833333333333367,9.510759342605313,8.266666666666666,79.87117552334944
primarias,circuito_antihorario,1.25,0.8153333333333334,0.811,0.839329517579722,0.9642416769420469,0.131,0.029,-0.43333333333333,12.491215936232491,10.200000000000001,77.86259541984732
primarias,circuito_antihorario,1.5,0.7505,0.726,0.8045747279591383,0.9506427915518825,0.14666666666666667,0.035833333333333335,-2.4499999999999966,14.606806359274415,11.083333333333334,75.56818181818181
primarias,circuito_antihorario,2.0,0.6143333333333333,0.5256666666666666,0.7547476939772111,0.9178820545339251,0.15066666666666667,0.043166666666666666,-8.866666666666667,16.313436055671403,10.750000000000002,71.3495575221239
primarias,circuito_horario,0.5,0.9865,0.9913333333333333,0.9829363068085826,0.9983187626092804,0.016833333333333332,0.0016666666666666668,0.4833333333333245,1.5382455800697858,1.5166666666666666,90.0990099009901
primarias,circuito_horario,0.75,0.9336666666666666,0.9515,0.9357372367011781,0.9931686810299527,0.06,0.0065,1.7833333333333368,5.743144432877456,5.35,89.16666666666666
primarias,circuito_horario,1.0,0.8765,0.8803333333333333,0.8809659631108576,0.9808784551306323,0.10433333333333333,0.016833333333333332,0.3833333333333355,9.991249201977471,8.75,83.86581469648561
primarias,circuito_horario,1.25,0.8143333333333334,0.8048333333333333,0.8391322144903807,0.9654172706564507,0.131,0.027833333333333335,-0.9500000000000064,12.628505616607,10.316666666666666,78.7531806615776
primarias,circuito_horario,1.5,0.7556666666666667,0.7143333333333334,0.8052492280546978,0.9484367708819412,0.14716666666666667,0.036833333333333336,-4.133333333333333,14.318754282724344,11.033333333333333,74.97168742921858
primarias,circuito_horario,2.0,0.6066666666666667,0.5121666666666667,0.7502747252747253,0.9183208590953466,0.1515,0.041833333333333333,-9.450000000000003,16.80461338206213,10.966666666666667,72.38723872387239
