tipo_rota,nome_sequencia,fator_ruido,acuracia_espacial,acuracia_forward,acuracia_viterbi,ganho_forward_pp,ganho_viterbi_pp
primarias,circuito_horario,0.5,0.9776666666666667,0.9961666666666666,0.9996666666666667,1.849999999999996,2.200000000000002
primarias,circuito_horario,0.75,0.911,0.9768333333333333,0.9985,6.58333333333333,8.750000000000002
primarias,circuito_horario,1.0,0.8421666666666666,0.942,0.995,9.983333333333333,15.283333333333339
primarias,circuito_horario,1.25,0.7895,0.9025,0.977,11.299999999999999,18.75
primarias,circuito_horario,1.5,0.743,0.8643333333333333,0.9391666666666667,12.13333333333333,19.61666666666667
primarias,circuito_horario,2.0,0.6663333333333333,0.779,0.8785,11.26666666666667,21.21666666666666
primarias,circuito_antihorario,0.5,0.9786666666666667,0.9965,1.0,1.7833333333333368,2.1333333333333315
primarias,circuito_antihorario,0.75,0.9086666666666666,0.9736666666666667,0.997,6.500000000000005,8.833333333333337
primarias,circuito_antihorario,1.0,0.8433333333333334,0.9428333333333333,0.9863333333333333,9.949999999999992,14.29999999999999
primarias,circuito_antihorario,1.25,0.7853333333333333,0.9056666666666666,0.966,12.03333333333333,18.066666666666663
primarias,circuito_antihorario,1.5,0.7421666666666666,0.8651666666666666,0.9361666666666667,12.3,19.400000000000006
primarias,circuito_antihorario,2.0,0.6688333333333333,0.786,0.876,11.716666666666676,20.716666666666672
estresse,troca_central_longa,0.5,0.9781666666666666,0.9958333333333333,0.9995,1.766666666666672,2.1333333333333426
estresse,troca_central_longa,0.75,0.9095,0.9761666666666666,0.9986666666666667,6.666666666666665,8.916666666666673
estresse,troca_central_longa,1.0,0.8415,0.944,0.9935,10.249999999999993,15.200000000000003
estresse,troca_central_longa,1.25,0.7871666666666667,0.9036666666666666,0.9708333333333333,11.649999999999993,18.366666666666664
estresse,troca_central_longa,1.5,0.7406666666666667,0.8358333333333333,0.9015,9.516666666666662,16.08333333333333
estresse,troca_central_longa,2.0,0.662,0.6441666666666667,0.637,-1.7833333333333368,-2.500000000000002
estresse,inspecao_com_saltos,0.5,0.9776666666666667,0.9546666666666667,0.991,-2.300000000000002,1.3333333333333308
estresse,inspecao_com_saltos,0.75,0.911,0.8223333333333334,0.8888333333333334,-8.866666666666667,-2.216666666666667
estresse,inspecao_com_saltos,1.0,0.8421666666666666,0.71,0.6966666666666667,-13.216666666666665,-14.549999999999997
estresse,inspecao_com_saltos,1.25,0.7893333333333333,0.6481666666666667,0.5601666666666667,-14.116666666666667,-22.916666666666664
estresse,inspecao_com_saltos,1.5,0.7426666666666667,0.6158333333333333,0.5188333333333334,-12.683333333333335,-22.383333333333333
estresse,inspecao_com_saltos,2.0,0.665,0.5745,0.4955,-9.050000000000002,-16.950000000000003
