metrica,estimativa_pp,ic95_inferior_pp,ic95_superior_pp,quantidade_sementes
ganho_forward_pp,8.95,8.458333333333334,9.436111111111114,1000
ganho_viterbi_pp,14.105555555555554,13.561076388888887,14.625,1000
