metodo,nome_sequencia,fator_ruido,quantidade_observacoes,n,media_ns,desvio_padrao_ns,minimo_ns,q1_ns,mediana_ns,q3_ns,p95_ns,maximo_ns,media_ms,mediana_ms,q1_ms,q3_ms,p95_ms
espacial_com_abstencao,circuito_antihorario,1.25,6,1000,4874053.067,189332.88351292242,4451926,4739723.5,4855313.5,4987552.0,5192697.149999999,6024507,4.874053067,4.8553135,4.7397235,4.987552,5.19269715
espacial_com_abstencao,circuito_antihorario,1.5,6,1000,4845764.271,185029.99251314593,4415350,4717021.75,4831931.0,4966017.5,5151574.9,5721589,4.845764270999999,4.831931,4.71702175,4.9660175,5.1515749
espacial_com_abstencao,circuito_antihorario,2.0,6,1000,4823035.551,183368.72322522363,4385369,4697577.25,4809792.5,4924133.5,5160997.55,5602044,4.823035551,4.8097925,4.69757725,4.9241335,5.160997549999999
espacial_com_abstencao,circuito_horario,0.5,6,1000,5041883.337,578480.0221291897,4473172,4798025.0,4938504.0,5122656.5,5668489.85,12892593,5.041883337000001,4.938504,4.798025,5.1226565,5.668489849999999
espacial_com_abstencao,circuito_horario,0.75,6,1000,4977043.009,401425.21316619194,4539978,4820388.0,4945581.5,5086148.75,5317132.95,14874480,4.977043009,4.9455815,4.820388,5.08614875,5.31713295
espacial_com_abstencao,circuito_horario,1.0,6,1000,4945943.27,208403.7884067405,4501184,4805648.25,4924491.5,5067925.75,5296089.2,6181999,4.94594327,4.9244915,4.80564825,5.06792575,5.2960892
espacial_com_abstencao,circuito_horario,1.25,6,1000,4952183.154,181301.9449929606,4535239,4822646.75,4929024.5,5063534.25,5279630.8,5691837,4.952183154,4.9290245,4.82264675,5.06353425,5.2796308
espacial_com_abstencao,circuito_horario,1.5,6,1000,4921266.987,179860.9875372997,4510618,4792881.0,4902833.0,5037185.5,5225351.5,5716209,4.921266987,4.902833,4.792881,5.0371855,5.2253515
espacial_com_abstencao,circuito_horario,2.0,6,1000,4938277.078,214462.93611654578,4456047,4792953.75,4920169.0,5034976.75,5288229.2,6318209,4.938277078,4.920169,4.79295375,5.03497675,5.2882292
espacial_com_abstencao,inspecao_com_saltos,0.5,6,1000,4820594.953,444263.4721183065,4319097,4606973.25,4737534.5,4899364.0,5271003.449999999,9877083,4.820594953,4.7375345,4.60697325,4.899364,5.271003449999999
espacial_com_abstencao,inspecao_com_saltos,0.75,6,1000,4681974.206,263604.90651646256,4331239,4528162.5,4642602.0,4773665.25,5035925.05,7724896,4.6819742060000005,4.642602,4.5281625,4.77366525,5.0359250499999995
espacial_com_abstencao,inspecao_com_saltos,1.0,6,1000,4652844.459,198291.9877909893,4275983,4525536.5,4623079.0,4756095.25,5002008.5,6015304,4.652844459,4.623079,4.5255365,4.75609525,5.0020085
