metodo,limiar_confianca,limiar_separacao,cobertura,taxa_abstencao,acuracia_seletiva,taxa_identificacoes_incorretas
espacial,0.6,0.25,0.8263888888888888,0.17361111111111116,0.8768067226890757,0.10180555555555555
forward,0.8,0.0,0.811875,0.188125,0.9716020870755282,0.023055555555555555
